Energias,ZAPA,Gst ganado,Arreglo Gst,Coste de caja gst,GMT,Total GST ,Caja mb,HP%,Obtencion caja,Upgrades,TOTAL FECHA GST,TOTAL USDT FECHA,Fecha,Aclaraciones de Upgrades,Success LV1,Success LV2,Success LV3,Success LV4,Porcentajes ,lv1,lv2,lv3,lv4,,OK,gemas l1,gemaslv2,gemas lv3,gemas lv4
10.2,RARE-WL-1041,,12,100,7.65,-112,5,73.12,3Clv1 + 1Clv2,50,-162,12,26/7/23,3Elv1 OK,YES,,,,,,,,,,,,,,
2.8,TEO -638,60,3,,,57,F,81.56,,100,-43,,26/7/23,3Rlv3 F,,,NO,,,,,,,,,,,,
2.6,RAREMHTE-020,68,1.5,,,66.5,F,70.21,,50,16.5,,27/7/23,3Rlv3 F,,,NO,,,,,,,,,,,,
5.4,RARE-WL-1041,,3,115,4.18,-118,4,72.82,2Clv1,50,-168,2,27/7/23,3Elv3 F,,,NO,,,,,,,,,,,,
9,RARE-WL-1041,,10,121,8,-131,5,72.26,3Llv1 + 1Llv2,50,-181,2,27/7/23,3Rlv3 OK,,,YES,,,,,,,,,,,,
3.6,RAREMHTE-020,104,1.5,,,102.5,,70.04,,50,52.5,,28/7/23,3Llv1 OK,YES,,,,,,,,,,,,,,
2.2,TEO -638,43,10,,,33,F,79.96,,100,-67,,28/7/23,3Llv1 F,NO,,,,,,,,,,,,,,
10.2,RARE-WL-1041,,12,106,7.5,-118,5,71.93,3Clv1 + 1Llv2,50,-168,3,28/7/23,3Clv1 F,NO,,,,,,,,,,,,,,
13.2,TEO -638,245,15,,,230,F,78.56,,100,130,,29/7/23,3Llv2 OK,,YES,,,,,,,,,,,,,
15,TEO -638,300,24,,,276,F,76.76,,100,176,,30/7/23,3Elv1 OK,YES,,,,,,,,,,,,,,
4.4,RARE-WL-1041,,3,,3.34,-3,F,71.79,,100,-103,,30/7/23,3Elv1 F,NO,,,,,,,,,,,,,,
15.6,C-T-946,300,24,128,,148,5,41.01,3Elv1 + 1Rlv2,50,98,1,31/7/23,3Elv1 F,NO,,,,,,,,,,,,,,
15.4,TEO -638,300,24,,,276,F,75.56,,100,176,,1/8/23,3Elv1 F,NO,,,,,,,,,,,,,,
15.4,TEO -638,300,24,,,276,F,73.86,,100,176,,2/8/23,3Elv1 F,NO,,,,,,,,,,,,,,
14.8,C-T-946,300,24,,,276,4,39.55,2Rlv1 ,100,176,0.3,3/8/23,3Elv1 F,NO,,,,,,,,,,,,,,
11.6,RARE-WL-1041,,13.5,27,7.67,-40.5,3,71.35,1Clv1 ,50,-90.5,1,4/8/23,3Elv1 F,NO,,,,,,,,,,,,,,
5.2,C-T-946,100,10,,,90,3,72.16,1Rlv1 ,50,40,0.2,4/8/23,3Rlv2 OK,,YES,,,,,,,,,,,,,
10,TEO -638,200,24,,,176,F,71.46,,50,126,,4/8/23,3Rlv3 F,,,NO,,,,,,,,,,,,
9,TEO -638,160,24,,,136,F,70.66,,100,36,,5/8/23,3Rlv3 F,,,NO,,,,,,,,,,,,
10.2,RAREMHTE-020,258,1.5,,,256.5,F,68.84,,100,156.5,,6/8/23,3Rlv2 OK,,YES,,,,,,,,,,,,,
2,TEO -638,45,3,,,42,F,70.46,,100,-58,,6/8/23,3Elv2 F,,NO,,,,,,,,,,,,,
2.4,RARE-WL-1041,,3,,2.1,-3,F,71.35,,200,-203,,6/8/23,3Rlv3 OK,,,YES,,,,,,,,,,,,
15.4,TEO -638,300,24,,,276,F,69.46,,200,76,,7/8/23,3Rlv3 F,,,NO,,,,,,,,,,,,
21.8,TEO -638,300,28,,,272,F,66.96,,50,222,,8/8/23,3Clv1 OK,YES,,,,,,,,,,,,,,
10,C-T-946,150,15,14.5,,120.5,3,38.55,2Elv1,50,70.5,0.3,11/8/23,3Clv1 F,NO,,,,,,,,,,,,,,
10.6,TEO -638,153,15,,,138,F,65.46,,50,88,,11/8/23,3Elv2 OK,,YES,,,,,,,,,,,,,
18,C-T-946,280,24,102,,154,5,36.15,3Llv1 + 1Llv2,50,104,2,12/8/23,3Llv2 F,,NO,,,,,,,,,,,,,
12.2,C-T-946,180,12,10,,158,3,35.15,1Llv1,50,108,0.1,12/8/23,3Elv2 F,,NO,,,,,,,,,,,,,
20.2,C-T-946,289,27,106,,156,5,33.15,3Elv1 + 1Rlv2,50,106,0.8,13/8/23,3Rlv2 OK,,YES,,,,,,,,,,,,,
1,TEO -638,12.71,1.8,,,10.91,F,65.46,,50,-39.09,,13/8/23,3Clv1 F,NO,,,,,,,,,,,,,,
2.6,RARE-WL-1041,,3,,2,-3,F,71.15,,50,-53,,13/8/23,3Clv1 F,NO,,,,,,,,,,,,,,
18.4,C-T-946,270,24,45,,201,4,31.28,2Clv1,50,151,1.3,14/8/23,3Elv2 OK,,YES,,,,,,,,,,,,,
11.2,TEO -638,154,20,,,134,F,63.96,,50,84,,15/8/23,3Clv1 OK,YES,,,,,,,,,,,,,,
8.8,RARE-WL-1041,,11,35,7,-46,4,70.88,2Rlv1 + 1Clv2,50,-96,7.5,16/8/23,3Llv2 F,,NO,,,,,,,,,,,,,
11.2,TEO -638,154,20,,,134,F,61.42,,50,84,,17/8/23,3Elv3 F,,,NO,,,,,,,,,,,,
18.8,TEO -638,268,26,,,242,F,59.32,,50,192,,18/8/23,3Elv2 F,,NO,,,,,,,,,,,,,
10,TEO -638,153,20,,,133,F,58.12,,50,83,,19/8/23,3Clv1 F,NO,,,,,,,,,,,,,,
13.6,C-T-946,196,18,65,,113,4,30.18,2Rlv1,50,63,0.3,20/8/23,3Clv1 F,NO,,,,,,,,,,,,,,
6,TEO -638,75,5,,,70,F,57.02,,50,20,,20/8/23,3Elv1 F,NO,,,,,,,,,,,,,,
14,C-T-946,204,19,60,,125,4,28.88,2Llv1,50,75,0.3,21/8/23,3Llv1 F,NO,,,,,,,,,,,,,,
14.2,C-T-946,204,19,90,,95,4,27.48,2Elv1,100,-5,0.3,22/8/23,3Rlv1 F,NO,,,,,,,,,,,,,,
4.2,TEO -638,55,5,,,50,F,56.72,,100,-50,,22/8/23,3Rlv3 OK,,,YES,,,,,,,,,,,,
1.6,TEO -638,23,2,,,21,F,56.32,,50,-29,,22/8/23,3Rlv3 F,,,NO,,,,,,,,,,,,
3.6,TEO -638,47,3,,,44,F,56.18,,50,-6,,23/8/23,3Llv2 F,,NO,,,,,,,,,,,,,
15.6,C-T-946,230,21,138,,71,5,26.08,3Clv1 + 1Clv2,100,-29,9,23/8/23,3Llv2 OK,,YES,,,,,,,,,,,,,
3,TEO -638,41,3,,,38,F,56.02,,50,-12,,24/8/23,3Rlv2 OK,,YES,,,,,,,,,,,,,
15.9,C-T-946,238,21,66,,151,4,24.58,2Clv1,50,101,0.7,24/8/23,3Rlv2 OK,,YES,,,,,,,,,,,,,
4.6,C-T-946,64,3,27,,34,3,24.08,2Rlv1,50,-16,0.3,25/8/23,3Rlv3 F,,,NO,,,,,,,,,,,,
9,C-T-946,130,15,22,,93,3,23.28,1Clv1,50,43,0.7,25/8/23,3Elv2 OK,,YES,,,,,,,,,,,,,
1.6,C-T-946,24,3,,,21,F,23.08,,100,-79,,25/8/23,3Elv2 F,,NO,,,,,,,,,,,,,
12.4,C-T-946,168,21,68,,79,4,21.98,2Elv1,100,-21,0.3,26/8/23,3Elv3 F,,,NO,,,,,,,,,,,,
18,C-T-946,258,24,105,,158,5,20.48,3Rlv1 + 1Elv2,50,108,1.2,27/8/23,3Llv3 F,,,NO,,,,,,,,,,,,
18,C-T-946,265,24,105,,136,5,18.48,3Llv1 + 1Rlv2,50,86,0.7,28/8/23,3Llv2 F,,NO,,,,,,,,,,,,,
3,TEO -638,40,3,,,37,F,55.02,,50,-13,,28/8/23,3Llv2 OK,,YES,,,,,,,,,,,,,
14.2,TEO -638,195,21,,,174,F,53.02,,100,74,,29/8/23,3Elv3 OK,,,YES,,,,,,,,,,,,
15,RAREMHTE-020,300,1.5,76,,222.5,4,68.55,2Rlv1,50,172.5,0.2,30/8/23,3Llv3 OK,,,YES,,,,,,,,,,,,
8.8,RARE-WL-1041,,11,86,6.33,-97,4,70.22,2Llv1,100,-197,0.2,30/8/23,3Llv2 F,,NO,,,,,,,,,,,,,
6,RAREMHTE-020,105,1.5,,,103.5,F,67.95,,50,53.5,,31/8/23,3Elv1 OK,YES,,,,,,,,,,,,,,
9.6,RAREMHTE-020,195,1.5,27,,166.5,3,67.65,2Elv1,100,66.5,0.2,31/8/23,3Elv1 F,NO,,,,,,,,,,,,,,
17.8,RARE-WL-1041,,21,86,12.34,-107,4,70.22,2Clv1 + SUNC,100,-207,4,1/9/23,3Llv1 F,NO,,,,,,,,,,,,,,
14.2,RAREMHTE-020,292,1.5,78,,212.5,4,66.49,2Rlv1,200,12.5,0.2,2/9/23,3Elv2 OK,,YES,,,,,,,,,,,,,
17.8,UNCO-WG-2524,262,16,,,246,F,97.97,,100,146,,3/9/23,3Rlv2 OK,,YES,,,,,,,,,,,,,
14.4,UNCJG-ER-269,235,1,68,,166,4,97.28,2Clv1 + 1Clv2,100,66,8,4/9/23,3Llv2 F,,NO,,,,,,,,,,,,,
6.2,OG-T-45727,65,4,85,,-24,4,99.69,2Llv1,100,-124,0.2,4/9/23,3Llv2 OK,,YES,,,,,,,,,,,,,
8.6,WL-925,83,10.8,79,,-6.8,4,82.98,2Elv1 + 1Llv2,50,-56.8,1.5,5/9/23,3Elv1 F,NO,,,,,,,,,,,,,,
9.8,RARE-WL-1041,,11,110,6.58,-121,5,69.72,3Llv1 + 1Rlv2,50,-171,0.6,5/9/23,3Elv1 F,NO,,,,,,,,,,,,,,
5,UNCO-WG-2524,75,4.8,,,70.2,F,97.72,,100,-29.8,,5/9/23,3Clv1 OK,YES,,,,,,,,,,,,,,
5,UNCO-WG-2524,77,4.8,,,72.2,F,97.52,,100,-27.8,,5/9/23,3Llv2 F,,NO,,,,,,,,,,,,,
10,UNCJG-ER-269,160,1,,,159,F,96.82,,100,59,,6/9/23,3Llv2 F,,NO,,,,,,,,,,,,,
12.4,UNCO-WG-2524,184,12,,,172,F,97.01,,50,122,,7/9/23,3Elv1 F,NO,,,,,,,,,,,,,,
6.6,OG-T-45727,115,5,86,,24,4,99.35,2Clv1 ,100,-76,1.1,7/9/23,3Clv1 OK,YES,,,,,,,,,,,,,,
13,OG-T-45727,241,10,91,,140,4,98.72,2Rlv1 + 1Elv2,50,90,,8/9/23,3Llv1 F,NO,,,,,,,,,,,,,,
6,WL-925,57,8,81,,-32,4,82.62,2Llv1 ,50,-82,,8/9/23,3Llv2 F,,NO,,,,,,,,,,,,,
8.2,UNCJG-ER-269,128,1,,,127,F,96.42,,100,27,,9/9/23,3Llv1 F,NO,,,,,,,,,,,,,,
9.4,UNCJG-ER-269,116,1,,,115,F,95.98,,50,65,,9/9/23,3Llv1 F,NO,,,,,,,,,,,,,,
5.6,RARE-WL-1041,,6,100,3.85,-106,4,69.52,2Rlv1 ,50,-156,0.2,10/9/23,3Clv1 F,NO,,,,,,,,,,,,,,
14.8,UNCO-WG-2524,220,14,81,,125,4,96.32,2Llv1 + 1Llv2,100,25,1.4,10/9/23,3Llv1 OK,YES,,,,,,,,,,,,,,
5.6,RARE-WL-1041,,6,,3.82,-6,4,69.32,,50,-56,,11/9/23,3Llv2 F,,NO,,,,,,,,,,,,,
13.4,UNCO-WG-2524,200,14,26,,160,3,95.69,1Rlv1 + SUNC,50,110,2.7,11/9/23,3Elv1 F,NO,,,,,,,,,,,,,,
6.4,WL-925,59,8,81,,-30,4,82.22,2Clv1,200,-230,1.1,11/9/23,3Llv2 F,,NO,,,,,,,,,,,,,
7,UNCJG-ER-269,115,1,,,114,F,95.63,,100,14,,12/9/23,3Rlv2 F,,NO,,,,,,,,,,,,,
4.6,UNCJG-ER-269,80,1,,,79,F,95.43,,50,29,,12/9/23,3Llv2 OK,,YES,,,,,,,,,,,,,
6,UNCJG-ER-269,105,1,27,,77,3,95.13,1Rlv1 ,100,-23,0.1,12/9/23,3Clv1 F,NO,,,,,,,,,,,,,,
6.2,WL-925,58,8,80,,-30,4,81.86,2Elv1 ,200,-230,0.2,13/9/23,3Rlv2 OK,,YES,,,,,,,,,,,,,
8.4,WL-925,78,10,78,,-10,4,81.36,2Clv1 ,100,-110,1.1,13/9/23,3Rlv2 F,,NO,,,,,,,,,,,,,
1.8,UNCJG-ER-269,30,1,,,29,F,95.07,,100,-71,,14/9/23,3Elv2 F,,NO,,,,,,,,,,,,,
6.2,WL-925,58,8,27,,23,3,81.01,2Llv1,50,-27,0.2,14/9/23,3Rlv1 F,NO,,,,,,,,,,,,,,
6.2,RARE-WL-1041,,7.5,27,4.54,-34.5,3,69.13,1Elv1,100,-134.5,0.1,14/9/23,3Rlv1 OK,YES,,,,,,,,,,,,,,
5,RARE-WL-1041,,3,81,3.23,-84,4,68.95,2Clv1 ,100,-184,1.1,14/9/23,3Elv1 F,NO,,,,,,,,,,,,,,
9.6,WL-925,85,13,125,,-53,5,80.41,3Clv1 + 1Clv2,100,-153,7,15/9/23,3Rlv2 OK,,YES,,,,,,,,,,,,,
4.8,UNCJG-ER-269,75,1,,,74,F,94.85,,200,-126,,15/9/23,3Rlv2 OK,,YES,,,,,,,,,,,,,
4.8,UNCJG-ER-269,84,1,,,83,F,94.63,,200,-117,,15/9/23,3Rlv2 OK,,YES,,,,,,,,,,,,,
6.2,WL-925,58,8,81,,-31,4,80.01,2Elv1 ,,-31,0.3,15/9/23,3Rlv3 OK,,,YES,,,,,,,,,,,,
8,WL-925,74,10,78,,-14,4,79.57,2Clv1 ,,-14,1.2,16/9/23,3Rlv3 OK,,,YES,,,,,,,,,,,,
4.8,UNCJG-ER-269,82,1,,,81,F,94.41,,,81,,16/9/23,3Llv1 F,NO,,,,,,,,,,,,,,
3.6,UNCO-WG-2524,54,3,,,51,F,95.53,,,51,,17/9/23,3Llv1 OK,YES,,,,,,,,,,,,,,
15.4,WL-925,140,20,83,,37,4,78.71,2Rlv1 + SCOM,,37,12.7,17/9/23,3Elv1 OK,YES,,,,,,,,,,,,,,
6,UNCO-WG-2524,90,4.8,,,85.2,F,95.28,,,85.2,,17/9/23,3Clv1 OK,YES,,,,,,,,,,,,,,
7.2,UNCJG-ER-269,122,1,,,121,F,94.11,,,121,,18/9/23,3Llv1 OK,YES,,,,,,,,,,,,,,
5.8,RARE-WL-1041,,7.5,83,3.81,-90.5,4,68.75,2Elv1 ,,-90.5,,18/9/23,3Elv1 F,NO,,,,,,,,,,,,,,
10.6,RARE-WL-1041,,11,92,7.27,-103,4,68.41,2Llv1 + 1Clv2,,-103,6.2,19/9/23,3Rlv1 F,NO,,,,,,,,,,,,,,
7.2,UNCJG-ER-269,124,1,,,123,,93.76,,,123,,19/9/23,3Rlv1 OK,YES,,,,,,,,,,,,,,
2.8,RARE-WL-1041,,3,,1.7,-3,F,68.33,,,-3,,19/9/23,3Rlv1 F,NO,,,,,,,,,,,,,,
4.6,UNCO-WG-2524,68,3,,,65,F,95.11,,,65,,20/9/23,3Rlv1 OK,YES,,,,,,,,,,,,,,
8,WL-925,77,10,92,,-25,4,78.19,2Rlv1,,-25,0.2,20/9/23,3Rlv1 F,NO,,,,,,,,,,,,,,
4.8,UNCJG-ER-269,90,,,,90,F,93.56,,,90,,20/9/23,3Rlv1 F,NO,,,,,,,,,,,,,,
2,UNCO-WG-2524,28.6,1.92,,,26.68,F,95.02,,,26.68,,20/9/23,3Rlv1 F,NO,,,,,,,,,,,,,,
6.4,OG-T-45727,143,4.8,92,,46.2,4,98.41,2Llv1,,46.2,,21/9/23,3Rlv1 F,NO,,,,,,,,,,,,,,
7,OG-T-45727,157,4.8,80,,72.2,4,98.09,2Elv1,,72.2,0.2,21/9/23,3Clv1 F,NO,,,,,,,,,,,,,,
6.8,OG-T-45727,149,4.8,91,,53.2,4,97.77,2Elv1,,53.2,0.2,22/9/23,3Clv1 OK,YES,,,,,,,,,,,,,,
4.2,UNC-WEG-168,82,5.5,,,76.5,F,48.42,,,76.5,,22/9/23,3Elv1 F,NO,,,,,,,,,,,,,,
11.6,RARE-WL-1041,,11,,9.41,-101,5,68.01,,,-101,,22/9/23,3Llv1 F,NO,,,,,,,,,,,,,,
3.6,UNC-WEG-168,69.22,5.5,,,63.72,F,48.22,,,63.72,,22/9/23,3Clv1 OK,YES,,,,,,,,,,,,,,
7.2,OG-T-45727,164.5,4.8,90,,69.7,4,97.41,2Rlv1 + 1Rlv2,,69.7,0.3,23/9/23,3Llv1 F,NO,,,,,,,,,,,,,,
6.8,UNC-WEG-168,136,11.1,,,124.9,F,47.85,,,124.9,,23/9/23,3Rlv2 F,,NO,,,,,,,,,,,,,
7.2,OG-T-45727,153,4.8,27,,121.2,3,97.06,1Rlv1,,121.2,0.1,24/9/23,3Elv2 F,,NO,,,,,,,,,,,,,
6.8,OG-T-45727,146.5,4.8,82,,59.7,4,96.79,2Elv1,,59.7,0.2,24/9/23,3Rlv2 OK,,YES,,,,,,,,,,,,,
13.6,OG-T-45727,299,11.5,,,287.5,5,96.11,,,287.5,,25/9/23,3Llv1 OK,YES,,,,,,,,,,,,,,
10.2,RARE-WL-1041,,11,,6.47,-11,5,67.62,,,-11,,25/9/23,3Llv1 F,NO,,,,,,,,,,,,,,
9.6,UNC-WEG-168,188.5,12.5,,,176,F,47.25,,,176,,26/9/23,3Llv2 OK,,YES,,,,,,,,,,,,,
4.2,UNCJG-ER-269,85,1,,,84,F,93.36,,,84,,26/9/23,3Clv1 F,NO,,,,,,,,,,,,,,
1.8,UNCO-WG-2524,27,1.9,,,25.1,F,94.95,,,25.1,,26/9/23,3Clv1 F,NO,,,,,,,,,,,,,,
15,RARE-WL-1041,,18,,9.66,-18,6,67.12,,,-18,,27/9/23,3Llv1 F,NO,,,,,,,,,,,,,,
2.6,UNC-WEG-168,53.6,3.3,,,50.3,F,47.12,,,50.3,,27/9/23,3Clv1 F,NO,,,,,,,,,,,,,,
4.8,UNC-WEG-168,96,5.5,,,90.5,F,46.84,,,90.5,,27/9/23,3Elv2 OK,,YES,,,,,,,,,,,,,
12.8,UNC-WEG-168,250,16,,,234,F,46.11,,,234,,28/9/23,3Rlv2 F,,NO,,,,,,,,,,,,,
3.2,UNCO-WG-2524,50,3,,,47,F,94.83,,,47,,28/9/23,3Llv1 OK,YES,,,,,,,,,,,,,,
17,UNCO-WG-2524,252,14,24,,214,3,94.02,2Elv1,,214,0.2,29/9/23,3Llv1 F,NO,,,,,,,,,,,,,,
3.6,UNCO-WG-2524,48,3,,,45,F,93.86,,,45,,29/9/23,3Llv1 OK,YES,,,,,,,,,,,,,,
18.4,RARE-WL-1041,,18,,11.18,-18,6,66.45,,,-18,,30/9/23,3Llv2 F,,NO,,,,,,,,,,,,,
5,UNCO-WG-2524,74,3,,,71,F,93.86,,,71,,30/9/23,3Clv1 OK,YES,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Rlv2 OK,,YES,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Elv1 F,NO,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Rlv2 OK,,YES,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Rlv2 F,,NO,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Rlv3 OK,,,YES,,,,,,,,,,,,
,,,,,,,,,,,,,,3Rlv2 OK,,YES,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Rlv2 OK,,YES,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Elv1 F,NO,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Clv1 OK,YES,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Rlv2 F,,NO,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Rlv2 OK,,YES,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Rlv2 F,,NO,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Clv1 F,NO,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Rlv2 F,,NO,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Elv1 F,NO,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Clv1 OK,YES,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Rlv2 OK,,YES,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Elv1 OK,YES,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Llv1 F,NO,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Elv2 F,,NO,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Llv1 F,NO,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Clv1 OK,YES,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Rlv3 F,,,NO,,,,,,,,,,,,
,,,,,,,,,,,,,,3Rlv2 OK,,YES,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Elv1 F,NO,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Rlv2 OK,,YES,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Rlv3 F,,,NO,,,,,,,,,,,,
,,,,,,,,,,,,,,3Rlv2 OK,,YES,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Rlv2 F,,NO,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Clv1 OK,YES,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Llv2 F,,NO,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Llv2 F,,NO,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Rlv2 F,,NO,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Llv3 OK,,,YES,,,,,,,,,,,,
,,,,,,,,,,,,,,3Elv2 OK,,YES,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Rlv3 OK,,,YES,,,,,,,,,,,,
,,,,,,,,,,,,,,3Rlv3 OK,,,YES,,,,,,,,,,,,