energias,ZAPA,Gst ganado,Arreglo Gst,Coste de caja gst,GMT,Total GST ,Caja mb,HP%,Obtencion caja,Upgrades,TOTAL FECHA GST,TOTAL USDT FECHA,Fecha,Aclaraciones de Upgrades,Success LV1,Success LV2,Success LV3,Success LV4,JUGADOR,,Gem Stock,LV1,LV2,LV3,LV4,LV5,LV6,LV7,LV8,LV9,,,,MBS,Ganancia Bruta,Gst cost,Gst usd,Ganancia Total,Mes,
11,RAREMHTE-020,300,1.5,,,298.5,F,77.68,,50,248.5,,16/5/23,3Llv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
5,RAREMHTE-020,150,1.5,,,148.5,F,77.48,,50,98.5,,17/5/23,3Llv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
9,UNCO-WG-2524,150,6.64,,,143.36,F,99.68,,50,93.36,,17/5/23,3Llv3 F,,,NO,,MORROS,,,,,,,,,,,,,,,,,,,,,
5.4,RARE-WL-1041,,13,,4.4,-13,F,82.44,,50,-63,,18/5/23,3Rlv3 F,,,NO,,MORROS,,,,,,,,,,,,,,,,,,,,,
11,RAREMHTE-020,300,1.5,,,298.5,F,77.08,,50,248.5,,18/5/23,3Llv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
15,RARE-WL-1041,,13,255,12.2,-268,6,82.44,6Clv1 + 2Rlv2,50,-318,5,19/5/23,3Rlv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
7.2,RAREMHTE-020,190,1.5,,,188.5,F,76.78,,50,138.5,,19/5/23,3Rlv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
10.2,RAREMHTE-020,300,1.5,,,298.5,F,76.01,,50,248.5,,20/5/23,3Clv1 F,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
3,RARE-WL-1041,,3,,2,-3,F,81.81,,50,-53,,20/5/23,3Clv2 OK,,YES,,,MORROS,,,,,,,,,,,,,,,,,,,,,
3.8,UNCO-WG-2524,59,4,,,55,F,99.63,,50,5,,21/5/23,3Clv1 F,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
12.8,UNC-WEG-168,240,12.3,,,227.7,F,49.94,,50,177.7,,21/5/23,3Clv1 OK,YES,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
5.2,UNCO-WG-2524,79,4,,,75,F,99.58,,50,25,,22/5/23,3Clv1 OK,YES,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
7.6,RAREMHTE-020,230,1.5,,,228.5,F,75.53,,200,28.5,,22/5/23,3Rlv3 F,,,NO,,MORROS,,,,,,,,,,,,,,,,,,,,,
6.2,RARE-WL-1041,,7.5,,3.72,-7.5,F,81.47,,50,-57.5,,22/5/23,3Rlv3 F,,,NO,,MORROS,,,,,,,,,,,,,,,,,,,,,
11,RAREMHTE-020,300,1.5,,,298.5,F,74.88,,50,248.5,,23/5/23,3Rlv3 F,,,NO,,MORROS,,,,,,,,,,,,,,,,,,,,,
10.2,RARE-WL-1041,,13,,6.4,-13,F,81.17,,100,-113,,23/5/23,3Rlv3 F,,,NO,,MORROS,,,,,,,,,,,,,,,,,,,,,
18,WL-925,270,28,105,,137,5,83.55,3Clv1 + 1Clv2,100,37,9,24/5/23,2Elv2 F,,NO,,,MORROS,,,,,,,,,,,,,,,,,,,,,
15.4,UNC-WEG-168,295,19,,,276,F,49.04,,50,226,,25/5/23,3Rlv3 F,,,NO,,MORROS,,,,,,,,,,,,,,,,,,,,,
18.6,UNC-WL-432,50,2,258,,-210,6,25.62,6Elv1 + 2Elv2 + SUNC,50,-260,11,26/5/23,3Rlv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
6.8,C-T-946,125,9,,,116,F,99.37,,50,66,,26/5/23,3Rlv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
6.2,UNC-WEG-168,115,8,,,107,F,48.68,,50,57,,26/5/23,3Rlv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
13.2,C-T-946,242,19.92,106,,116.08,4,98.17,2Clv1 ,50,66.08,1.5,27/5/23,3Rlv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
17.8,C-T-946,300,24,107,,169,5,96.47,3Llv1 + 1Llv2,200,-31,3.3,28/5/23,3Rlv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
16.2,C-T-946,300,24,101,,175,5,94.87,3Llv1 + 1Llv2,100,75,3.3,29/5/23,3Rlv2 F,,NO,,,MORROS,,,,,,,,,,,,,,,,,,,,,
10,UNCO-WG-2524,164,13,,,151,F,99.47,,200,-49,,30/5/23,3Rlv3 F,,,NO,,MORROS,,,,,,,,,,,,,,,,,,,,,
9.8,C-T-946,160,24,79,,57,4,94.17,2Rlv1 ,200,-143,0.5,31/5/23,3Elv2 F,,NO,,,MORROS,,,,,,,,,,,,,,,,,,,,,
4.8,C-T-946,85,12,,,73,F,93.62,,,73,,31/5/23,3Elv2 F,,NO,,,MORROS,,,,,,,,,,,,,,,,,,,,,
5,C-T-946,94,12,,,82,F,93.12,,200,-118,,1/6/23,3Elv2 OK,,YES,,,MORROS,,,,,,,,,,,,,,,,,,,,,
11,C-T-946,200,16,,,184,F,,,200,-16,,1/6/23,3Elv3 F,,,NO,,MORROS,,,,,,,,,,,,,,,,,,,,,
16,C-T-946,300,42,,,258,F,,,200,58,,2/6/23,3Clv1 OK,YES,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
13.8,C-T-946,249,32,,,217,F,,,50,167,,3/6/23,3Clv1 OK,YES,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
16.6,C-T-946,300,15,79,,206,4,88.26,2Rlv1 ,50,156,0.5,4/6/23,3Rlv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
3.2,RARE-WL-1041,,3,,2.5,-3,F,,,50,-53,,4/6/23,3Clv1 F,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
3,RARE-WL-1041,,3,,2.9,-3,F,80.71,,200,-203,,5/6/23,3Clv1 OK,YES,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
16.2,C-T-946,300,22.4,177,,100.6,5,86.11,3Elv1 + 1Elv2,200,-99.4,3.3,5/6/23,3Rlv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
16.4,C-T-946,300,22.4,90,,187.6,4,84.95,2Elv1 + 1Rlv2,200,-12.4,1,6/6/23,3Rlv2 OK,,YES,,,MORROS,,,,,,,,,,,,,,,,,,,,,
9,RARE-WL-1041,,13,87,5.6,-100,4,80.31,2Llv1,100,-200,0.4,6/6/23,3Rlv2 F,,NO,,,MORROS,,,,,,,,,,,,,,,,,,,,,
16.4,C-T-946,300,22.4,201,,76.6,5,83.75,3Elv1 + 1Elv2,50,26.6,4,7/6/23,3Rlv2 OK,,YES,,,MORROS,,,,,,,,,,,,,,,,,,,,,
16.6,C-T-946,300,22.4,112,,165.6,5,81.25,3Elv1 + 1Elv2,50,115.6,4,8/6/23,3Rlv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
16.4,C-T-946,300,22.4,103,,174.6,5,79.85,3Rlv1 + 1Rlv2,50,124.6,,9/6/23,3Rlv2 OK,,YES,,,MORROS,,,,,,,,,,,,,,,,,,,,,
2,RARE-WL-1041,,3,,1.2,-3,F,80.27,,50,-53,,9/6/23,3Clv1 F,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
16.2,C-T-946,300,22.4,,,277.6,F,78.25,,50,227.6,,10/6/23,3Llv1 F,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
16.4,C-T-946,300,22.4,100,,177.6,5,76.65,3Elv1 + 1Llv2,50,127.6,3,11/6/23,3Llv1 F,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
5,RARE-WL-1041,,3,,3.35,-3,F,80.21,,100,-103,,11/6/23,3Llv1 F,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
6.4,C-T-946,113,8.3,,,104.7,F,76.08,,200,-95.3,,12/6/23,3Llv1 F,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
6.6,RAREMHTE-020,185,1.5,,,183.5,F,74.48,,200,-16.5,,12/6/23,3Llv1 F,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
8.4,RARE-WL-1041,,13,100,5,-113,4,79.96,2Rlv1,100,-213,0.4,12/6/23,3Llv1 F,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
10.6,RAREMHTE-020,300,1.5,,,298.5,F,73.84,,50,248.5,,13/6/23,3Llv1 F,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
12.6,RARE-WL-1041,,15,105,7.62,-120,4,79.51,2Elv1 + SUNC,50,-170,4,14/6/23,3Llv1 F,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
5.4,RAREMHTE-020,155,1.5,,,153.5,F,73.38,,50,103.5,,14/6/23,3Llv1 F,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
5,UNCO-WG-2524,76,5,,,71,F,98.77,,50,21,,14/6/23,3Llv1 F,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
10.4,RAREMHTE-020,298,1.5,,,296.5,F,72.87,,50,246.5,,15/6/23,3Llv1 F,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
5,RARE-WL-1041,,3,23,3,-26,3,79.38,2Rlv1,50,-76,0.4,15/6/23,3Elv1 F,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
7,RARE-WL-1041,,3,27,5,-30,3,79.16,1Elv1,200,-230,0.2,16/6/23,3Elv1 F,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
8,C-T-946,150,12,100,,38,5,75.34,3Elv1 + 1Elv2,200,-162,3.5,16/6/23,3Elv1 F,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
4.4,RAREMHTE-020,127,1.5,,,125.5,F,72.61,,200,-74.5,,16/6/23,3Elv1 F,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
15.6,C-T-946,291,21,130,,140,5,73.81,3Rlv1 + 1Rlv2,200,-60,1,17/6/23,3Elv1 F,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
5,UNC-WL-432,9,1,80,,-72,4,25.22,2Llv1,50,-122,0.4,18/6/23,3Elv1 F,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
15,C-T-946,280,,100,,180,5,73.01,3Rlv1 + 1Elv2,50,130,2,19/6/23,3Elv1 OK,YES,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
14.8,C-T-946,273,21,,,252,F,72.28,,50,202,,19/6/23,3Elv1 OK,YES,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
10.6,RARE-WL-1041,,15,100,7.3,-115,5,78.79,3Clv1 + 1Clv2,100,-215,12,19/6/23,3Elv1 OK,YES,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
20,RARE-WL-1041,,22,266,15,-288,6,78.19,6Clv1 + 2Elv2,50,-338,11,20/6/23,3Elv1 OK,YES,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
9,RAREMHTE-020,256,1.5,,,254.5,F,72.01,,50,204.5,,20/6/23,3Elv1 OK,YES,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
15.2,UNCJG-ER-269,300,3,,,297,F,99.36,,50,247,,21/6/23,3Elv1 OK,YES,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
15.6,UNCJG-ER-269,299,1,,,298,F,98.61,,50,248,,22/6/23,3Llv1 F,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
15.8,C-T-946,297,21,106,,170,5,70.28,3Llv1 + 1Rlv2,50,120,1,23/6/23,3Llv1 F,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
9.4,C-T-946,167,12,,,155,F,,,50,105,,24/6/23,3Llv1 F,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
4.8,RAREMHTE-020,132,1.5,,,130.5,F,,,50,80.5,,24/6/23,3Llv1 F,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
2.6,TEO -638,37,6,,,31,F,,,100,-69,,25/6/23,3Llv1 F,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
13.4,C-T-946,255,21,145,,89,5,,3Clv1 + 1Elv2,200,-111,5.2,25/6/23,3Clv1 OK,YES,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
5.8,RARE-WL-1041,,,110,,-110,4,,2Rlv1 + RClv2 + SUNC,200,-310,4,25/6/23,3Llv1 OK,YES,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
10.2,RARE-WL-1041,,15,110,6.83,-125,4,77.59,2Llv1 + 1Rlv2,100,-225,1,26/6/23,3Llv1 F,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
15.4,TEO -638,283,26,,,257,F,97.77,,100,157,,26/6/23,3Llv1 F,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
14,C-T-946,250,21,,,229,5,67.43,,200,29,,27/6/23,3Clv1 OK,YES,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
14.8,UNCJG-ER-269,280,1,,,279,F,97.96,,200,79,,28/6/23,3Clv1 F,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
16.4,TEO -638,276,26,,,250,F,95.72,,50,200,,29/6/23,3Elv1 F,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
15.4,C-T-946,300,21,,,279,5,65.93,,50,229,,30/6/23,3Elv1 F,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
15,C-T-946,285,21,,,264,5,64.43,,100,164,,1/7/23,3Rlv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
15.6,C-T-946,300,21,,,279,5,62.93,,100,,,2/7/23,3Clv1 F,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,100,,,,3Clv1 F,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,100,,,,3Clv1 F,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,50,,,,3Rlv2 OK,,YES,,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,50,,,,3Rlv2 F,,NO,,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Elv1 F,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Clv1 OK,YES,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Clv1 F,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Clv1 F,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Rlv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Clv1 F,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Rlv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Rlv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Rlv2 F,,NO,,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Rlv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Rlv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Rlv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Llv1 F,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Llv1 F,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Clv1 OK,YES,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Rlv3 F,,,NO,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Rlv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Rlv3 F,,,NO,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Rlv2 OK,,YES,,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Elv1 F,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Elv1 F,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Elv1 OK,YES,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Elv1 OK,YES,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Elv1 F,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Elv1 F,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Elv2 OK,,YES,,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Rlv3 F,,,NO,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Llv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Rlv2 OK,,YES,,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Rlv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Elv1 F,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Elv1 OK,YES,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Elv1 OK,YES,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Elv1 OK,YES,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Elv1 OK,YES,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Elv1 OK,YES,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Rlv3 F,,,NO,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Rlv3 F,,,NO,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Elv3 F,,,NO,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Rlv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Llv1 OK,YES,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Llv1 F,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Clv1 F,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Llv2 OK,,YES,,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Elv1 OK,YES,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Elv1 F,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Elv1 F,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Elv1 F,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Elv1 F,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Elv1 F,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Elv1 F,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Rlv2 OK,,YES,,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Rlv3 F,,,NO,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Rlv3 F,,,NO,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Rlv2 OK,,YES,,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Elv2 F,,NO,,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Rlv3 OK,,,YES,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Rlv3 F,,,NO,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Clv1 OK,YES,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Clv1 F,NO,,,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Elv2 OK,,YES,,,MORROS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Llv2 F,,NO,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Elv2 F,,NO,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Rlv2 OK,,YES,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Clv1 F,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Clv1 F,NO,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Elv2 OK,,YES,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3Clv1 OK,YES,,,,,,,,,,,,,,,,,,,,,,,,,